{'total_steps': 5000000.0, 'learning_rate': 5e-05, 'epsilon': 1e-05, 'state_dict_name': 'sd5.pt'}
Start Training...
Step: 24576	Mean reward: 0.9375
Step: 49152	Mean reward: 0.0
Step: 73728	Mean reward: 2.8125
Step: 98304	Mean reward: 8.75
Step: 122880	Mean reward: 11.875
Step: 147456	Mean reward: 13.4375
Step: 172032	Mean reward: 15.0
Step: 196608	Mean reward: 23.125
Step: 221184	Mean reward: 23.75
Step: 245760	Mean reward: 18.4375
Step: 270336	Mean reward: 23.4375
Step: 294912	Mean reward: 22.1875
Step: 319488	Mean reward: 25.9375
Step: 344064	Mean reward: 23.125
Step: 368640	Mean reward: 24.375
Step: 393216	Mean reward: 25.0
Step: 417792	Mean reward: 21.5625
Step: 442368	Mean reward: 24.375
Step: 466944	Mean reward: 23.125
Step: 491520	Mean reward: 24.6875
Step: 516096	Mean reward: 26.5625
Step: 540672	Mean reward: 23.125
Step: 565248	Mean reward: 28.125
Step: 589824	Mean reward: 27.1875
Step: 614400	Mean reward: 26.875
Step: 638976	Mean reward: 26.5625
Step: 663552	Mean reward: 27.1875
Step: 688128	Mean reward: 20.9375
Step: 712704	Mean reward: 25.0
Step: 737280	Mean reward: 26.5625
Step: 761856	Mean reward: 27.8125
Step: 786432	Mean reward: 31.25
Step: 811008	Mean reward: 27.5
Step: 835584	Mean reward: 33.125
Step: 860160	Mean reward: 28.75
Step: 884736	Mean reward: 30.625
Step: 909312	Mean reward: 30.9375
Step: 933888	Mean reward: 27.8125
Step: 958464	Mean reward: 29.375
Step: 983040	Mean reward: 33.4375
Step: 1007616	Mean reward: 35.0
Step: 1032192	Mean reward: 33.4375
Step: 1056768	Mean reward: 33.125
Step: 1081344	Mean reward: 31.25
Step: 1105920	Mean reward: 33.75
Step: 1130496	Mean reward: 32.5
Step: 1155072	Mean reward: 36.5625
Step: 1179648	Mean reward: 33.75
Step: 1204224	Mean reward: 35.9375
Step: 1228800	Mean reward: 36.5625
Step: 1253376	Mean reward: 35.3125
Step: 1277952	Mean reward: 31.875
Step: 1302528	Mean reward: 35.9375
Step: 1327104	Mean reward: 34.6875
Step: 1351680	Mean reward: 35.3125
Step: 1376256	Mean reward: 36.25
Step: 1400832	Mean reward: 35.0
Step: 1425408	Mean reward: 37.8125
Step: 1449984	Mean reward: 39.375
Step: 1474560	Mean reward: 37.5
Step: 1499136	Mean reward: 41.25
Step: 1523712	Mean reward: 37.5
Step: 1548288	Mean reward: 39.375
Step: 1572864	Mean reward: 41.875
Step: 1597440	Mean reward: 42.1875
Step: 1622016	Mean reward: 40.9375
Step: 1646592	Mean reward: 40.9375
Step: 1671168	Mean reward: 41.875
Step: 1695744	Mean reward: 41.25
Step: 1720320	Mean reward: 40.9375
Step: 1744896	Mean reward: 45.0
Step: 1769472	Mean reward: 40.0
Step: 1794048	Mean reward: 40.625
Step: 1818624	Mean reward: 43.125
Step: 1843200	Mean reward: 43.75
Step: 1867776	Mean reward: 45.625
Step: 1892352	Mean reward: 45.9375
Step: 1916928	Mean reward: 40.625
Step: 1941504	Mean reward: 48.75
Step: 1966080	Mean reward: 48.75
Step: 1990656	Mean reward: 45.0
Step: 2015232	Mean reward: 47.5
Step: 2039808	Mean reward: 46.875
Step: 2064384	Mean reward: 44.375
Step: 2088960	Mean reward: 52.5
Step: 2113536	Mean reward: 50.9375
Step: 2138112	Mean reward: 47.1875
